ChanID 	 PedRMS(pes) 	 DarkNoise Rate 
4026	0.0736241	0.0261258
4027	0.0539394	0.0256566
4028	0.0760202	0.0282285
4029	0.0797294	0.0519356
4030	0.0770902	0.0233207
4031	0.0779443	0.0248164
4032	0.072779	0.0217365
4033	0.0726943	0.0260857
4034	0.0728834	0.0335856
4035	0.074671	0.044899
4036	0.0680475	0.034128
4037	0.0654518	0.0183728
4038	0.0698164	0.0866474
4039	0.0677524	0.0590025
4040	0.0707631	0.0186686
4041	0.0731321	0.0373894
4042	0.0730311	0.0321598
4043	0.0745656	0.0431509
4044	0.0692543	0.0530663
4045	0.0677515	0.0462114
4046	0.0683525	0.0528943
4047	0.0679483	0.0507812
4048	0.0719689	0.0313106
4049	0.0719518	0.0408195
4050	0.0713294	0.0219086
4051	0.053854	0.0293853
4052	0.0702671	0.023759
4053	0.0717134	0.0775971
4054	0.0697726	0.0274768
4055	0.0707039	0.0472874
4056	0.0704372	0.0291003
4057	0.071221	0.0212504
4058	0.0710372	0.0194365
4059	0.0702696	0.0214824
4060	0.0750746	0.0226387
4061	0.0716143	0.0385394
4062	0.0702385	0.0202577
4063	0.0712078	0.0332023
5000	0.14549	0.00753822
5001	0.124558	0.0375156
5002	0.141755	0.01039
5003	0.136148	0.0142634
5004	0.113023	0.000691864
5005	0.186633	0.000622319
5006	0.199163	0.000668223
5007	0.188308	0.00846599
5011	0.137928	0.0100342
5012	0.19249	0.00775222
5013	0.210119	0.0144493
5014	0.176104	0.0217936
5015	0.202677	0.016987
5016	0.136275	0.0268165
5017	0.138803	0.052525
5018	0.107709	0.0126254
5019	0.137344	0.0316232
5020	0.14873	0.00822738
5021	0.139512	0.00876808
5023	0.162252	0.000826216
5024	0.134331	0.00528758
5025	0.134634	0.0316404
5028	0.138613	0.00706188
5031	0.166475	0.0231275
5032	0.120816	0.0274972
5033	0.133087	0.00697263
5034	0.133049	0.0246544
5035	0.135238	0.0123641
5036	0.123473	0.0454728
5037	0.120012	0.0406849
5038	0.121141	0.0327225
5039	0.0959328	0.0580866
5040	0.105824	0.0132484
5041	0.132825	0.0353038
5042	0.131521	0.0320817
5043	0.131362	0.0264884
5044	0.121818	0.0324934
5045	0.120612	0.00868599
5046	0.122282	0.033789
5047	0.12216	0.0423252
5048	0.126101	0.0189284
5049	0.12771	0.0207406
5050	0.12892	0.0403576
5051	0.129704	0.030489
5052	0.123356	0.0115745
5053	0.121043	0.00746026
5054	0.12483	0.00916096
5055	0.123271	0.00718777
5056	0.1083	0.0252497
5057	0.129444	0.0414839
5058	0.126525	0.0238075
5059	0.126649	0.0239856
5060	0.133685	0.0314561
5061	0.121341	0.0181972
5062	0.124671	0.0712062
5063	0.123193	0.00589295
6000	0.123917	0.030208
6001	0.112965	0.0063749
6002	0.121185	0.0250621
6003	0.124135	0.0284054
6004	0.152424	0.0115075
6005	0.160292	0.010143
6006	0.163891	0.0231349
6007	0.162321	0.0432741
6008	0.124531	0.00816159
6009	0.114035	0.0542529
6010	0.126352	0.00825926
6011	0.123479	0.0203817
6012	0.160297	0.0140516
6013	0.165229	0.00973498
6014	0.163022	0.00916638
6015	0.168665	0.0171191
6016	0.11526	0.0282023
6017	0.115389	0.0384486
6018	0.109824	0.0259835
6020	0.136784	0.0447368
6022	0.138921	0.0422989
6023	0.136684	0.00947146
6024	0.11703	0.0303471
6025	0.116927	0.0222496
6026	0.118394	0.0284775
6027	0.130239	0.0424992
6028	0.135067	0.0560228
6029	0.139305	0.0307433
6030	0.114707	0.0187159
6031	0.140272	0.0105559
6032	0.104946	0.00838291
6033	0.0879878	0.038857
6034	0.110381	0.0347676
6035	0.108501	0.0102356
6036	0.102498	0.0180932
6038	0.101138	0.0281134
6039	0.103071	0.0374514
6041	0.110874	0.00847771
6042	0.109882	0.0470333
6043	0.110582	0.0223773
6044	0.102597	0.0391013
6045	0.102673	0.0256928
6047	0.100805	0.0927749
6048	0.106935	0.0486447
6049	0.105757	0.0236749
6050	0.105647	0.0650034
6051	0.107905	0.0521911
6052	0.106597	0.033411
6053	0.109278	0.0540128
6054	0.0945567	0.108804
6055	0.107048	0.0300446
6056	0.106189	0.0111622
6057	0.105371	0.0101906
6058	0.107179	0.0104355
6059	0.106484	0.0489346
6060	0.118412	0.0477927
6061	0.106569	0.0238543
6062	0.105757	0.025325
6063	0.0825067	0.0256039
7000	0.0993995	0.0240076
7003	0.103275	0.0299426
7004	0.137817	0.01254
7005	0.13576	0.00861866
7006	0.134299	0.00783826
7007	0.13336	0.0122478
7008	0.102668	0.0315905
7009	0.103146	0.0196411
7010	0.10494	0.0537008
7011	0.0808504	0.0367585
7012	0.131371	0.00733534
7013	0.137811	0.00796955
7014	0.135109	0.00766581
7015	0.137393	0.00665585
7016	0.0996949	0.02691
7017	0.101468	0.079619
7018	0.097103	0.0206851
7019	0.100285	0.0458042
7020	0.115548	0.0232817
7021	0.113938	0.034908
7022	0.11308	0.0214951
7023	0.116677	0.0692915
7024	0.0968187	0.0157485
7025	0.0994303	0.0460117
7026	0.0986281	0.0279675
7027	0.0969716	0.0277353
7028	0.112001	0.0415853
7030	0.0916211	0.0272737
7031	0.116643	0.0487952
7032	0.0998609	0.0584235
7033	0.097694	0.0334686
7034	0.0960493	0.0315891
7035	0.104227	0.0324451
7036	0.0818188	0.0284072
7037	0.0817928	0.0400936
7038	0.081693	0.0261031
7039	0.0819016	0.0379328
7040	0.0944333	0.0169378
7041	0.0955792	0.0374493
7042	0.0943144	0.0403658
7043	0.0952851	0.0175553
7044	0.0815308	0.0444217
7045	0.0817208	0.0166146
7046	0.0812626	0.0258887
7047	0.080929	0.0324097
7048	0.0898743	0.0182938
7049	0.0932491	0.0535971
7050	0.0825359	0.0413715
7051	0.091626	0.0184457
7052	0.0849218	0.0113982
7053	0.080129	0.0344657
7054	0.0860847	0.0398864
7055	0.0853074	0.0317789
7056	0.0909052	0.0335711
7057	0.0897901	0.0384143
7058	0.0911462	0.0282909
7059	0.0892752	0.0202334
7060	0.0845899	0.0190889
7061	0.0852441	0.0381172
7062	0.0840635	0.02464
7063	0.0852701	0.0385431
8000	0.0940367	0.0275319
8001	0.0943515	0.0288586
8002	0.0932503	0.0512584
8003	0.0946389	0.0277975
8004	0.125581	0.00593382
8005	0.124409	0.0415665
8006	0.12371	0.00731494
8007	0.127865	0.0315161
8008	0.0931757	0.0546671
8009	0.092148	0.0165488
8010	0.0836291	0.0313443
8011	0.0928895	0.0216032
8012	0.120633	0.0925122
8013	0.125087	0.00652889
8014	0.123103	0.0301058
8015	0.124933	0.0274756
8016	0.0894681	0.0195816
8017	0.0673779	0.0304669
8019	0.0919723	0.0513375
8020	0.105402	0.0299967
8021	0.104443	0.0402745
8023	0.103537	0.036845
8024	0.0917275	0.0495903
8025	0.093243	0.0625485
8026	0.09025	0.0261189
8027	0.0907931	0.0508366
8028	0.104757	0.0755117
8029	0.10516	0.0357201
8030	0.102031	0.0438747
8031	0.105282	0.0497655
8032	0.0679854	0.0301542
8033	0.0913072	0.0321854
8034	0.0915551	0.0605056
8035	0.0609014	0.0241701
8036	0.0803854	0.039972
8037	0.0791177	0.0316629
8038	0.0797875	0.0342706
8039	0.0804454	0.032338
8040	0.0888029	0.0247139
8041	0.0873276	0.0196326
8042	0.0892056	0.0186638
8043	0.0450594	0.0401457
8044	0.0799528	0.0233075
8045	0.0795085	0.0226273
8046	0.0804345	0.0344142
8047	0.0795586	0.0256336
8048	0.086862	0.0373589
8049	0.0885067	0.0613153
8050	0.085564	0.0324072
8051	0.0883203	0.0365839
8052	0.0843374	0.0498635
8053	0.0839148	0.0440913
8055	0.0831711	0.0421021
8056	0.0860979	0.035893
8057	0.0873576	0.0340651
8058	0.0873746	0.0286575
8059	0.0873477	0.0390765
8060	0.0858684	0.0371783
8061	0.0847938	0.0236973
8062	0.0862506	0.0562122
8063	0.0837349	0.0206283
9000	0.133008	0.00774088
9001	0.137427	0.0718743
9002	0.129997	0.0287776
9003	0.134188	0.013978
9004	0.191448	0.00960044
9005	0.180035	0.0151775
9006	0.0937249	0.000227401
9007	0.104703	0.00026516
9008	0.131475	0.00670732
9009	0.132372	0.0282758
9010	0.135434	0.0363322
9011	0.109547	0.0297696
9012	0.175858	0.0446576
9014	0.160976	0.00911769
9015	0.184369	0.00803192
9016	0.123743	0.0280703
9017	0.126201	0.0500656
9018	0.122854	0.0111501
9019	0.125638	0.0313252
9020	0.150276	0.0285943
9021	0.146261	0.0246243
9022	0.164383	0.0183773
9023	0.146799	0.0349487
9024	0.12383	0.0288853
9025	0.122515	0.0364972
9027	0.118601	0.0234769
9028	0.134773	0.00642635
9029	0.148203	0.0318199
9030	0.147624	0.00936282
9031	0.152709	0.0148854
9032	0.101958	0.0180274
9033	0.121116	0.0393099
9034	0.102707	0.0268351
9035	0.136566	0.0399162
9036	0.123194	0.0212215
9037	0.102722	0.0218303
9038	0.104764	0.0332122
9039	0.0925515	0.0392304
9040	0.116432	0.00772854
9041	0.094042	0.026489
9042	0.116285	0.031962
9043	0.118034	0.0182493
9044	0.103908	0.0418123
9045	0.0829791	0.0523043
9046	0.106664	0.0470761
9047	0.0887393	0.0500133
9048	0.111383	0.0321184
9049	0.111687	0.0174542
9050	0.110875	0.00597708
9051	0.113777	0.0446487
9052	0.110669	0.0372326
9053	0.109642	0.0255741
9054	0.109826	0.0282014
9055	0.115116	0.0561173
9056	0.111226	0.0237423
9057	0.116626	0.0617294
9058	0.111607	0.00785515
9059	0.111107	0.0268142
9060	0.111605	0.0405418
9061	0.110258	0.0338585
9062	0.112793	0.030448
9063	0.109684	0.0354484
10000	0.121598	0.0298058
10001	0.119955	0.00520125
10002	0.121009	0.0420347
10003	0.123378	0.0370192
10004	0.159152	0.0160128
10005	0.153414	0.00775587
10006	0.157947	0.00740938
10007	0.156302	0.00633767
10008	0.122191	0.0366641
10009	0.120861	0.0214979
10010	0.138865	0.0107555
10011	0.121257	0.0328117
10013	0.165638	0.00998809
10014	0.160802	0.0363386
10015	0.164519	0.0459904
10016	0.115114	0.0359206
10017	0.0856976	0.0165106
10018	0.113841	0.0266852
10019	0.118761	0.0628422
10020	0.135589	0.0238444
10021	0.133116	0.0270144
10022	0.135255	0.0411973
10023	0.109411	0.0467172
10024	0.116948	0.0366399
10025	0.11652	0.0412489
10027	0.11253	0.0259302
10028	0.133405	0.0306414
10029	0.127867	0.0280573
10030	0.135647	0.0247563
10031	0.13644	0.0282054
10032	0.113623	0.0344433
10033	0.113653	0.0306133
10034	0.111883	0.00772501
10035	0.11999	0.0218279
10036	0.0976983	0.0200835
10037	0.0956962	0.040061
10038	0.0973857	0.0295824
10039	0.0837887	0.0191433
10040	0.0951532	0.0225054
10041	0.112311	0.0340904
10042	0.112451	0.0350604
10043	0.114734	0.0436411
10044	0.0986009	0.0452891
10045	0.0776486	0.0327013
10046	0.0976551	0.0259279
10047	0.0991979	0.0579297
10048	0.107519	0.0356826
10049	0.105723	0.00450815
10050	0.107967	0.0415926
10051	0.108104	0.0170976
10052	0.100887	0.0580266
10053	0.100802	0.0273492
10054	0.101671	0.0487687
10055	0.100204	0.0365709
10056	0.107977	0.0447299
10057	0.106558	0.0231624
10058	0.106105	0.0188596
10059	0.105473	0.0256588
10060	0.104454	0.0332596
10061	0.103238	0.0511712
10062	0.102102	0.0360194
10063	0.101154	0.030588
11000	0.0972227	0.0242366
11001	0.0969434	0.0220618
11002	0.0968323	0.0339242
11003	0.0989483	0.0338368
11004	0.132012	0.0452851
11005	0.127385	0.0417662
11006	0.141228	0.00855234
11007	0.124357	0.00905424
11008	0.0762111	0.0419734
11009	0.0960687	0.0306489
11010	0.0993854	0.0311404
11011	0.097196	0.0446342
11012	0.124178	0.0246242
11013	0.131827	0.00650763
11014	0.127127	0.0230691
11016	0.0934211	0.0236351
11017	0.0938641	0.0325204
11018	0.0944545	0.0377151
11019	0.0963383	0.055151
11020	0.0876515	0.0318928
11021	0.106554	0.0263437
11022	0.105668	0.0202818
11023	0.105991	0.0392663
11024	0.0913865	0.0479048
11025	0.0947675	0.050491
11026	0.0940212	0.0289497
11027	0.0842959	0.0455019
11028	0.108356	0.0580613
11029	0.108313	0.0297264
11030	0.107082	0.0253536
11031	0.10876	0.0323977
11032	0.0948901	0.0587293
11033	0.0949493	0.0425923
11034	0.0925718	0.00554937
11035	0.1039	0.0363471
11036	0.0850466	0.0307742
11037	0.0851605	0.0509153
11038	0.08434	0.0377953
11039	0.0847087	0.0381502
11040	0.0908741	0.0467494
11041	0.0935651	0.0474812
11042	0.0916649	0.0543738
11043	0.0936728	0.0434299
11044	0.0988582	0.013306
11045	0.0826624	0.0247467
11046	0.0829318	0.0430638
11047	0.0827061	0.0339594
11048	0.0912627	0.0413169
11049	0.0908285	0.0408747
11050	0.0891586	0.0346059
11051	0.0911038	0.0244486
11052	0.0681061	0.0290491
11053	0.0890744	0.0359956
11054	0.0866672	0.0223296
11055	0.0888199	0.0423654
11056	0.0892314	0.0304042
11057	0.0884725	0.0397944
11058	0.0891763	0.00621339
11059	0.0878005	0.0212656
11060	0.0900834	0.0451039
11061	0.0860382	0.021655
11062	0.0875586	0.0217215
11063	0.0870403	0.0442725
12000	0.105518	0.0215232
12001	0.106017	0.0234355
12002	0.117073	0.040015
12003	0.107552	0.0311841
12004	0.13739	0.0356055
12005	0.133437	0.0246697
12006	0.153309	0.0119502
12007	0.131329	0.0187354
12008	0.0912821	0.0301535
12009	0.0902027	0.0431861
12010	0.109005	0.0672681
12011	0.105206	0.029319
12012	0.131777	0.0320174
12013	0.137952	0.00681291
12014	0.137259	0.019066
12015	0.137356	0.0237644
12016	0.101915	0.0310006
12017	0.0883266	0.0292248
12018	0.102569	0.02285
12019	0.104963	0.0410435
12020	0.114023	0.0282241
12021	0.0899493	0.0503706
12022	0.115067	0.024914
12023	0.113779	0.0245003
12024	0.100598	0.00477878
12025	0.103465	0.0621868
12026	0.102579	0.0267731
